Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,1987,9,9,7,Long March 2C,FSW-1 No.1,China,3,1
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,9,7,23,Tsyklon-3,Cosmos 1875 to 1880,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,8,28,8,Zenit-2,Cosmos 1873,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Kapustin Yar,1987,,,,Cosmos-3MRB (65MRB),BOR-5 Shuttle,Russia,3,0
MHI,StatusRetired,90.0,Success,Japan,Tanegashima Space Center,1987,8,27,9,H-I UM-129A (9SO),Kiku 5,Japan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,8,18,2,Tsyklon-3,Meteor-2 n†­16,Russia,3,0
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,1987,8,5,6,Long March 2C,FSW-0 No.9,China,3,1
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,8,1,3,Zenit-2,Cosmos 1871,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,7,16,4,Tsyklon-3,Cosmos 1869,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,7,14,14,Cosmos-3M (11K65M),Cosmos 1868,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,7,10,15,Tsyklon-2,Cosmos 1867,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,7,6,21,Cosmos-3M (11K65M),Cosmos 1864,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,7,1,19,Tsyklon-3,Cosmos 1862,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,6,23,7,Cosmos-3M (11K65M),Cosmos 1861,Russia,3,0
General Dynamics,StatusRetired,150.0,Success,USA,California,1987,6,20,2,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F8,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,6,18,21,Tsyklon-2,Cosmos 1860,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,6,16,17,Cosmos-3M (11K65M),Cosmos 1852 to 1859,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,6,12,7,Molniya-M /Block 2BL,Cosmos 1851,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,6,9,14,Cosmos-3M (11K65M),Cosmos 1850,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,6,4,18,Molniya-M /Block 2BL,Cosmos 1849,Russia,3,0
RVSN USSR,StatusRetired,5000.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,5,15,17,Energiya/Polyus,Polyus Space Station,Kazakhstan,3,0
General Dynamics,StatusRetired,150.0,Success,USA,California,1987,5,15,15,Atlas-H MSD,NOSS-9,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,5,13,5,Zenit-2,Cosmos 1844,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,4,26,23,Tsyklon-3,Cosmos 1842,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,4,8,3,Tsyklon-2,Cosmos 1834,Kazakhstan,3,0
General Dynamics,StatusRetired,150.0,Failure,USA,Florida,1987,3,26,21,Atlas-G Centaur-D1AR,FLTSATCOM-6,United States,0,0
ISRO,StatusRetired,31.0,Failure,India,Satish Dhawan Space Centre,1987,3,24,6,ASLV,SROSS-A,India,0,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,3,18,8,Zenit-2,Cosmos 1833,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,3,13,13,Tsyklon-3,Cosmos 1827 to 1832,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,3,3,15,Tsyklon-3,Cosmos 1825,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,2,20,4,Tsyklon-3,Cosmos 1823,Russia,3,0
MHI,StatusRetired,90.0,Success,Japan,Tanegashima Space Center,1987,2,19,1,N-II,Momo 1a,Japan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,2,18,13,Cosmos-3M (11K65M),Cosmos 1821,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,2,14,8,Zenit-2,Cosmos 1820,Kazakhstan,3,0
Martin Marietta,StatusRetired,35.0,Success,USA,California,1987,2,12,0,Titan III(34)B Agena-D,Quasar 7,United States,3,0
ISAS,StatusRetired,150.0,Success,Japan,Uchinoura Space Center,1987,2,5,6,Mu-III S2,Ginga,Japan,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1987,2,1,23,Tsyklon-2,Cosmos 1818,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Partial Failure,Russia,Plesetsk Cosmodrome,1987,1,29,6,Cosmos-3M (11K65M),Cosmos 1816,Russia,2,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,1,22,16,Molniya-M /Block ML,Molniya-3 n†­129,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Kapustin Yar,1987,1,22,7,Cosmos-3M (11K65M),Cosmos 1815,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,1,21,9,Cosmos-3M (11K65M),Cosmos 1814,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,1,14,9,Tsyklon-3,Cosmos 1812,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1987,1,5,1,Tsyklon-3,Meteor-2 n†­15,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,12,26,15,Molniya-M /Block ML,Molniya-1 n†­128,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Kapustin Yar,1986,12,25,23,Cosmos-3MRB (65MRB),BOR-5 Shuttle,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,,,,Tsyklon-3,Cosmos 1809,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,12,17,17,Cosmos-3M (11K65M),Cosmos 1808,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,12,12,18,Molniya-M /Block 2BL,Cosmos 1806,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,12,10,7,Tsyklon-3,Cosmos 1805,Russia,3,0
General Dynamics,StatusRetired,150.0,Success,USA,Florida,1986,12,5,2,Atlas-G Centaur-D1AR,FLTSATCOM-7,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,12,2,7,Tsyklon-3,Cosmos 1803,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,11,24,21,Cosmos-3M (11K65M),Cosmos 1802,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,11,21,2,Cosmos-3M (11K65M),Cosmos 1794 to 1801,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,11,20,12,Molniya-M /Block 2BL,Cosmos 1793,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,11,15,21,Molniya-M /Block ML,Molniya-1 n†­127,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,11,13,6,Cosmos-3M (11K65M),Cosmos 1791,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,10,27,12,Cosmos-3M (11K65M),Cosmos 1788,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1986,10,22,8,Zenit-2,Cosmos 1786 & EPN n†­3,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,10,20,8,Molniya-M /Block ML,Molniya-3 n†­126,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,10,15,9,Molniya-M /Block 2BL,Cosmos 1785,Russia,3,0
RVSN USSR,StatusRetired,150.0,Failure,Russia,Plesetsk Cosmodrome,1986,10,15,5,Tsyklon-3,Cosmos 1786 to 1791,Russia,0,0
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,1986,10,6,5,Long March 2C,FSW-0 No.8,China,3,1
RVSN USSR,StatusRetired,150.0,Partial Failure,Russia,Plesetsk Cosmodrome,1986,10,3,13,Molniya-M /Block 2BL,Cosmos 1783,Russia,2,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,9,30,18,Tsyklon-3,Cosmos 1782,Russia,3,0
General Dynamics,StatusRetired,150.0,Success,USA,California,1986,9,17,15,Atlas-E/F Star-37S-ISS,NOAA-G,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,9,10,1,Cosmos-3M (11K65M),Cosmos 1777,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,9,5,9,Molniya-M /Block ML,Molniya-1 n†­125,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,9,3,9,Cosmos-3M (11K65M),Cosmos 1776,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,8,28,8,Molniya-M /Block 2BL,Cosmos 1774,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1986,8,20,12,Tsyklon-2,Cosmos 1771,Kazakhstan,3,0
MHI,StatusRetired,90.0,Success,Japan,Tanegashima Space Center,1986,8,12,20,H-I (9 SO),"Fuji 1a, Jindai & Ajisai",Japan,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1986,8,4,5,Tsyklon-2,Cosmos 1769,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,7,30,15,Molniya-M /Block ML,Molniya-1 n†­124,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1986,7,30,8,Zenit-2,Cosmos 1767,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,7,28,21,Tsyklon-3,Cosmos 1766,Russia,3,0
RVSN USSR,StatusRetired,150.0,Partial Failure,Russia,Plesetsk Cosmodrome,1986,7,16,4,Cosmos-3M (11K65M),Cosmos 1763,Russia,2,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,7,5,1,Molniya-M /Block 2BL,Cosmos 1761,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,6,19,21,Molniya-M /Block ML,Molniya-3 n†­123,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,6,18,20,Cosmos-3M (11K65M),Cosmos 1759,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,6,12,4,Tsyklon-3,Cosmos 1758,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,6,6,3,Cosmos-3M (11K65M),Cosmos 1748 to 1755,Russia,3,0
Arianespace,StatusRetired,200.0,Failure,France,French Guiana,1986,5,31,0,Ariane 2,Intelsat-5A 14,France,0,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,5,27,9,Tsyklon-3,Meteor-2 n†­14,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,5,23,12,Cosmos-3M (11K65M),Cosmos 1745,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,5,15,4,Tsyklon-3,Cosmos 1743,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,4,18,19,Molniya-M /Block ML,Molniya-3 n†­122,Russia,3,0
Martin Marietta,StatusRetired,35.0,Failure,USA,California,1986,4,18,18,Titan 34D,KH-9,United States,0,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,4,17,21,Cosmos-3M (11K65M),Cosmos 1741,Russia,3,0
Arianespace,StatusRetired,200.0,Success,France,French Guiana,1986,3,28,23,Ariane 3,"GStar-2, Brasilsat-A2",France,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1986,3,25,19,Tsyklon-2,Cosmos 1737,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1986,3,21,10,Tsyklon-2,Cosmos 1736,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1986,2,27,1,Tsyklon-2,Cosmos 1735,Kazakhstan,3,0
Arianespace,StatusRetired,200.0,Success,France,French Guiana,1986,2,22,1,Ariane 1,SPOT-1 & Viking,France,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,2,19,23,Tsyklon-3,Cosmos 1733,Russia,3,0
MHI,StatusRetired,90.0,Success,Japan,Tanegashima Space Center,1986,2,12,7,N-II Star-37E,Yuri 2b,Japan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,2,11,6,Tsyklon-3,Cosmos 1732,Russia,3,0
General Dynamics,StatusRetired,150.0,Success,USA,California,1986,2,9,10,Atlas-H MSD,NOSS-8,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,2,1,18,Molniya-M /Block 2BL,Cosmos 1729,Russia,3,0
CASC,StatusRetired,30.8,Success,China,Xichang Satellite Launch Center,1986,2,1,12,Long March 3,DFH-2A-T1,China,3,0
NASA,StatusRetired,450.0,Failure,USA,Florida,1986,1,28,16,Space Shuttle Challenger,STS-51-L,United States,0,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,1,23,18,Cosmos-3M (11K65M),Cosmos 1727,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,1,17,7,Tsyklon-3,Cosmos 1726,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,1,16,11,Cosmos-3M (11K65M),Cosmos 1725,Russia,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1986,1,12,11,Space Shuttle Columbia,STS-61-C,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1986,1,9,2,Cosmos-3M (11K65M),Cosmos 1716 to 1723,Russia,3,0
RVSN USSR,StatusRetired,150.0,Partial Failure,Kazakhstan,Baikonur Cosmodrome,1985,12,28,9,Zenit-2,Cosmos 1714,Kazakhstan,2,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,12,26,1,Tsyklon-3,Meteor-2 n†­13,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,12,24,18,Molniya-M /Block ML,Molniya-3 n†­121,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,12,19,8,Cosmos-3M (11K65M),Cosmos 1709,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,12,12,15,Tsyklon-3,Cosmos 1707,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,11,28,13,Cosmos-3M (11K65M),Cosmos 1704,Russia,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,11,27,0,Space Shuttle Atlantis,STS-61-B,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,11,22,22,Tsyklon-3,Cosmos 1703,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,11,9,8,Molniya-M /Block 2BL,Cosmos 1701,Russia,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,11,6,17,Space Shuttle Challenger,STS-61-A,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,10,28,17,Molniya-M /Block ML,Molniya-1 n†­120,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,10,24,2,Tsyklon-3,Meteor-3 n†­1,Russia,3,0
RVSN USSR,StatusRetired,150.0,Failure,Russia,Plesetsk Cosmodrome,1985,10,23,17,Cosmos-3M (11K65M),Parouss n†­50,Russia,0,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,10,23,0,Molniya-M /Block ML,Molniya-1 n†­119,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,10,22,20,Molniya-M /Block 2BL,Cosmos 1698,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,10,22,7,Zenit-2,Cosmos 1697,Kazakhstan,3,0
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,1985,10,21,5,Long March 2C,FSW-0 No.7,China,3,1
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,10,9,21,Tsyklon-3,Cosmos 1690 to 1695,Russia,3,0
General Dynamics,StatusRetired,150.0,Success,USA,California,1985,10,9,2,Atlas-E/F SGS-2,GPS-11,United States,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,10,3,15,Space Shuttle Atlantis,STS-51-J,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,10,3,7,Molniya-M /Block ML,Molniya-3 n†­118,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,10,3,5,Vostok-2M,Cosmos 1689,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Kapustin Yar,1985,10,2,9,Cosmos-3M (11K65M),Cosmos 1688,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,9,30,19,Molniya-M /Block 2BL,Cosmos 1687,Russia,3,0
General Dynamics,StatusRetired,150.0,Success,USA,Florida,1985,9,28,23,Atlas-G Centaur-D1AR,Intelsat V -512,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,9,24,1,Molniya-M /Block 2BL,Cosmos 1684,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,9,19,1,Tsyklon-2,Cosmos 1682,Kazakhstan,3,0
Arianespace,StatusRetired,200.0,Failure,France,French Guiana,1985,9,12,23,Ariane 3,"ECS 3, Spacenet 3",France,0,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,9,4,17,Cosmos-3M (11K65M),Cosmos 1680,Russia,3,0
Martin Marietta,StatusRetired,35.0,Failure,USA,California,1985,8,28,21,Titan 34D,KH-11,United States,0,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,8,27,10,Space Shuttle Discovery,STS-51-I,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,8,23,22,Tsyklon-2,Cosmos 1677,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,8,22,19,Molniya-M /Block ML,Molniya-1 n†­117,Russia,3,0
ISAS,StatusRetired,150.0,Success,Japan,Uchinoura Space Center,1985,8,18,23,Mu-III S2,Suisei,Japan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,8,8,11,Tsyklon-3,Cosmos 1674,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,8,1,5,Tsyklon-2,Cosmos 1670,Kazakhstan,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,7,25,21,Space Shuttle Challenger,STS-51-F,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,7,17,1,Molniya-M /Block ML,Molniya-3 n†­116,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,7,8,23,Tsyklon-3,Cosmos 1666,Russia,3,0
Arianespace,StatusRetired,200.0,Success,France,French Guiana,1985,7,2,11,Ariane 1,Giotto,France,3,0
General Dynamics,StatusRetired,150.0,Success,USA,Florida,1985,6,30,0,Atlas-G Centaur-D1AR,Intelsat V -511,United States,3,0
RVSN USSR,StatusRetired,150.0,Failure,Kazakhstan,Baikonur Cosmodrome,1985,6,21,8,Zenit-2,EPN 03.0694 n†­2,Kazakhstan,0,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,6,19,11,Cosmos-3M (11K65M),Cosmos 1662,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,6,18,0,Molniya-M /Block 2BL,Cosmos 1661,Russia,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,6,17,11,Space Shuttle Discovery,STS-51-G,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,6,14,10,Tsyklon-3,Cosmos 1660,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,6,12,15,Molniya-M /Block 2BL,Cosmos 1675,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,6,11,14,Molniya-M /Block 2BL,Cosmos 1658,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,5,30,1,Cosmos-3M (11K65M),Cosmos 1655,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,5,29,7,Molniya-M /Block ML,Molniya-3 n†­115,Russia,3,0
Arianespace,StatusRetired,200.0,Success,France,French Guiana,1985,5,8,1,Ariane 3,"GStar-1, Telecom 1B",France,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,5,6,16,Space Shuttle Challenger,STS-51-B,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,,,,Molniya-M /Block SO-L,Prognoz n†­10,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,4,18,21,Tsyklon-2,Cosmos 1646,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Kapustin Yar,1985,,,,Cosmos-3MRB (65MRB),BOR-5 Shuttle,Russia,3,0
RVSN USSR,StatusRetired,150.0,Failure,Kazakhstan,Baikonur Cosmodrome,1985,4,13,8,Zenit-2,EPN 03.0694 n†­1,Kazakhstan,0,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,4,12,13,Space Shuttle Discovery,STS-51-D,United States,3,0
General Dynamics,StatusRetired,150.0,Success,USA,Florida,1985,3,22,23,Atlas-G Centaur-D1AR,Intelsat V -510,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,3,21,0,Cosmos-3M (11K65M),Cosmos 1635 to 1642,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,3,14,1,Cosmos-3M (11K65M),Cosmos 1634,Russia,3,0
General Dynamics,StatusRetired,150.0,Success,USA,California,1985,3,13,2,Atlas-E/F OIS,Geosat,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,3,5,15,Tsyklon-3,Cosmos 1633,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,2,27,12,Cosmos-3M (11K65M),Cosmos 1631,Russia,3,0
Arianespace,StatusRetired,200.0,Success,France,French Guiana,1985,2,8,23,Ariane 3,"Arabsat-1A, Brasilsat-A1",France,3,0
Martin Marietta,StatusRetired,35.0,Success,USA,California,1985,,,,Titan III(34)B Agena-D,Quasar 6,United States,3,0
ISAS,StatusRetired,150.0,Success,Japan,Uchinoura Space Center,1985,2,7,19,Mu-III S2,Sakigake,Japan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,2,6,21,Tsyklon-3,Meteor-2 n†­12,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,2,1,19,Cosmos-3M (11K65M),Cosmos 1627,Russia,3,0
NASA,StatusRetired,450.0,Success,USA,Florida,1985,1,24,19,Space Shuttle Discovery,STS-51-C,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,1,24,16,Tsyklon-3,Cosmos 1626,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Kazakhstan,Baikonur Cosmodrome,1985,1,23,19,Tsyklon-2,Cosmos 1625,Kazakhstan,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,1,16,6,Molniya-M /Block ML,Molniya-3 n†­114,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,1,15,17,Cosmos-3M (11K65M),Cosmos 1624,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1985,1,15,14,Tsyklon-3,Cosmos 1617 to 1622,Russia,3,0
Martin Marietta,StatusRetired,35.0,Success,USA,Florida,1984,12,22,0,Titan 34D,DSP-12,United States,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1984,12,20,13,Cosmos-3M (11K65M),Cosmos 1615,Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Kapustin Yar,1984,12,19,3,Cosmos-3MRB (65MRB),Cosmos 1614 (BOR-4 Space Shuttle),Russia,3,0
RVSN USSR,StatusRetired,150.0,Success,Russia,Plesetsk Cosmodrome,1984,12,14,20,Molniya-M /Block ML,Molniya-1 n†­113,Russia,3,0
